time, Temperature, Humidity
2020:16:09:04:34:02,26.0,37.0
2020:16:09:04:34:12,26.0,44.0
2020:16:09:04:34:22,26.0,36.0
2020:16:09:04:34:33,26.0,35.0
2020:16:09:04:34:43,26.0,34.0
2020:16:09:04:34:53,26.0,36.0
2020:16:09:04:35:24,26.0,38.0
2020:16:09:04:35:34,26.0,36.0
2020:16:09:04:35:44,26.0,37.0
2020:16:09:04:35:54,26.0,36.0
2020:16:09:04:36:04,26.0,35.0
2020:16:09:04:36:15,26.0,35.0
2020:16:09:04:36:25,13.0,35.0
2020:16:09:04:36:35,26.0,34.0
2020:16:09:04:36:45,26.0,35.0
2020:16:09:04:36:56,26.0,35.0
2020:16:09:04:37:06,26.0,35.0
2020:16:09:04:37:16,26.0,35.0
2020:16:09:04:37:26,26.0,35.0
2020:16:09:04:37:36,26.0,35.0
2020:16:09:04:37:46,26.0,35.0
2020:16:09:04:37:57,26.0,35.0
2020:16:09:04:38:07,26.0,35.0
2020:16:09:04:38:17,26.0,35.0
2020:16:09:04:38:27,26.0,35.0
2020:16:09:04:38:38,26.0,35.0
2020:16:09:04:38:48,26.0,35.0
2020:16:09:04:38:58,26.0,35.0
2020:16:09:04:39:08,26.0,35.0
2020:16:09:04:39:19,26.0,35.0
2020:16:09:04:39:29,26.0,35.0
2020:16:09:04:39:39,26.0,35.0
2020:16:09:04:39:49,26.0,34.0
2020:16:09:04:39:59,26.0,35.0
2020:16:09:04:40:10,26.0,42.0
2020:16:09:04:40:20,26.0,48.0
2020:16:09:04:40:30,26.0,44.0
2020:16:09:04:40:40,26.0,39.0
2020:16:09:04:40:51,26.0,37.0
2020:16:09:04:41:01,26.0,36.0
2020:16:09:04:41:11,26.0,35.0
2020:16:09:04:41:22,26.0,35.0
2020:16:09:04:41:32,26.0,35.0
2020:16:09:04:41:42,26.0,34.0
2020:16:09:04:41:52,26.0,34.0
2020:16:09:04:42:02,26.0,34.0
2020:16:09:04:42:13,26.0,35.0
2020:16:09:04:42:23,26.0,34.0
2020:16:09:04:42:33,26.0,57.0
2020:16:09:04:42:43,26.0,0.0
